model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8671547184324014,0.8671547184324014,0.8671547184324014,687.3687128722668,normal,0.8802749134334672,0.8123636756991763
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8579931844555414,0.8579931844555414,0.8579931844555414,1044.827403575182,poisson,0.8939792877705045,0.8000293332994382
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8533028287628687,0.8533028287628687,0.8533028287628687,1358.9039316177368,poisson_gaussian,0.8914787694264457,0.8078357485125497
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8623653975646505,0.8623653975646505,0.8623653975646505,652.2876833081245,salt_and_pepper,0.8744922903945009,0.805942455996334
yolo11x,000000001532,2,2/255,0.25,0.45,rcp,0.8591926556178796,0.8591926556178796,0.8591926556178796,470.11286103725433,uniform,0.8918512621634472,0.8023885523850287
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.7965337634086609,0.7965337634086609,0.7965337634086609,249.62808400392532,laplace,0.9158153533935547,0.00029277801513671875
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.8185006976127625,0.8185006976127625,0.8185006976127625,126.08633729815483,normal,9.5367431640625e-07,0.7423219680786133
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.767203152179718,0.767203152179718,0.767203152179718,130.3432004749775,poisson,0.9611310958862305,0.0
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.7965776324272156,0.7965776324272156,0.7965776324272156,125.61556649208069,poisson_gaussian,0.9158153533935547,0.00029277801513671875
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.8300043344497681,0.8300043344497681,0.8300043344497681,124.56368604302406,salt_and_pepper,9.5367431640625e-07,0.7424812316894531
yolo11x,000000001532,3,1/255,0.25,0.45,odpv,0.8185006976127625,0.8185006976127625,0.8185006976127625,124.70888009667397,uniform,0.8885049819946289,0.002227783203125
yolo11x,000000001532,3,1/255,0.25,0.45,rcp,0.8677842969063925,0.8677842969063925,0.8677842969063925,699.3957375586033,laplace,0.8801158564753678,0.8036179217698826
yolo11x,000000001532,3,1/255,0.25,0.45,rcp,0.870685983056071,0.870685983056071,0.870685983056071,687.2787410318851,normal,0.8714828270699434,0.8164466286668505
yolo11x,000000001532,3,1/255,0.25,0.45,rcp,0.8688852737361625,0.8688852737361625,0.8688852737361625,919.8787970542908,poisson,0.8872060435986215,0.8077281324232936
yolo11x,000000001532,3,1/255,0.25,0.45,rcp,0.8675623887686118,0.8675623887686118,0.8675623887686118,1242.2076501250267,poisson_gaussian,0.8825231908869179,0.7996976430530853
